id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,year,pop
25666,Actinopteri,Perciformes,Sciaenidae,Argyrosomus,japonicus,,(Temminck & Schlegel 1843),Japanese meagre,State-wide Marine Scalefish Fishery (all coastal waters of South Australia excluding Coorong estuary),Australia,Oceania,-36.030405,136.2887,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,CPUE (kg per fisher day),Daily catch and effort data from research log books,No,2005,119.71
26566,Actinopteri,Mugiliformes,Mugilidae,Aldrichetta,forsteri,,(Valenciennes 1836),Yellow-eye mullet,"Marine Scalefish Fishery, South Australia",Australia,Oceania,-34.603111,136.761955,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,CPUE (kg / fisher day),CPUE from commercial fisheries data,No,2005,88.93
26571,Actinopteri,Mugiliformes,Mugilidae,Aldrichetta,forsteri,,(Valenciennes 1836),Yellow-eye mullet,"Lakes and Coorong Fishery, South Australia",Australia,Oceania,-35.764751,139.255857,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,CPUE (kg / fisher day),CPUE from commercial fisheries data,No,2005,94
26825,Actinopteri,Perciformes,Sillaginidae,Sillaginodes,punctatus,,(Cuvier 1829),King George whiting,"West coast, South Australia",Australia,Oceania,-33.521504,134.803208,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Estimated biomass,Modelling based on age and size structure and CPUE data.,No,2005,1895
26826,Actinopteri,Perciformes,Sillaginidae,Sillaginodes,punctatus,,(Cuvier 1829),King George whiting,"Spencer Gulf, South Australia",Australia,Oceania,-34.123457,136.96951,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Estimated biomass,Modelling based on age and size structure and CPUE data.,No,2005,1389
26827,Actinopteri,Perciformes,Sillaginidae,Sillaginodes,punctatus,,(Cuvier 1829),King George whiting,"Gulf St Vincent, South Australia",Australia,Oceania,-35.081206,138.077295,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Estimated biomass,Modelling based on age and size structure and CPUE data.,No,2005,763
26834,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,"South East, South Australia",Australia,Oceania,-36.378588,139.59359,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,CPUE,CPUE from commercial catch,No,2005,43
26835,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,"Northern Gulf St Vincent, South Australia",Australia,Oceania,-34.74729,138.147,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,CPUE (kg / fisher day),CPUE from longline fishery,No,2005,256
26836,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,"West Coast, South Australia",Australia,Oceania,-33.078902,134.169949,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,CPUE (kg / fisher day),CPUE from longline fishery,No,2005,24.83
26838,Actinopteri,Beloniformes,Hemiramphidae,Hyporhamphus,melanochir,,(Valenciennes 1847),Southern garfish,"Northern Spencer Gulf, South Australia",Australia,Oceania,-33.645938,137.440356,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Biomass,Modelling based on age and size structure data and CPUE. ,No,2005,257
26841,Actinopteri,Beloniformes,Hemiramphidae,Hyporhamphus,melanochir,,(Valenciennes 1847),Southern garfish,"Northern Gulf St Vincent, South Australia",Australia,Oceania,-34.770241,138.206652,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Biomass,Modelling based on age and size structure data and CPUE.,No,2005,324
